model,query_id,is_baseline,semantic_accuracy,reasoning_quality,domain_knowledge_score,factual_correctness,depth_score,biobank_specificity
Gemini 2.0 Flash,keywords_real,False,0.6129920444188222,0.2356070373200654,0.6090311164644531,0.4859636917618598,0.3688222975942972,0.5457289761630048
Gemini 2.0 Flash,citations_real,False,0.6218007151869731,0.5542823536248037,0.2417127256299968,0.5993206289400533,0.3988189068901987,0.533302937624011
Gemini 2.0 Flash,authors_real,False,0.6031675617334248,0.5232941012686995,0.46509964548144794,0.24656563042764224,0.46341847250313506,0.5029273524492125
Gemini 2.0 Flash,institutions_real,False,0.6171740227030483,0.6114655740647581,0.6724873987666211,0.5403945174777763,0.4588219753303467,0.4872059269917952
DeepThink R1,keywords_real,False,0.4407052877131928,0.12472296572636182,0.6403702312005991,0.5558213755394553,0.43477396766296006,0.25491503442636054
DeepThink R1,citations_real,False,0.45256131777815156,0.3901712190773998,0.47004884951834774,0.3035070995079276,0.6063085918642379,0.15103873677345692
DeepThink R1,authors_real,False,0.4137026148810282,0.6153672891944881,0.49726607588147026,0.6452411574798633,0.25356912983741586,0.26590090028519164
DeepThink R1,institutions_real,False,0.4159972510227782,0.48548521246510706,0.6979949069379848,0.5312995752116147,0.1708468975428794,0.4712424741334552
Mistral Large 2,keywords_real,False,0.42532375761535046,0.8042579641432901,0.4901321193393326,0.7146754201673755,0.12623784511901948,0.5180131266953449
Mistral Large 2,citations_real,False,0.4130780847521008,0.344239737236405,0.7051355570039122,0.6110950322826088,0.7667258277360567,0.4717233652128533
Mistral Large 2,authors_real,False,0.40041991246785663,0.31012835613019607,0.4879389226499342,0.4116809113051694,0.37241343762450235,0.425476335419345
Mistral Large 2,institutions_real,False,0.4493685724683588,0.41429785814811054,0.5440480927723983,0.38433858267884424,0.2808327655734578,0.3232687730483866
ChatGPT o1 pro,keywords_real,False,0.3827955340497558,0.20984212040101877,0.38576133731857565,0.4363008904831886,0.4438792835225232,0.27274041106835367
ChatGPT o1 pro,citations_real,False,0.41481802603101225,0.5825455503475944,0.5120865857222171,0.5447941015560298,0.44821996781025936,0.516409788380975
ChatGPT o1 pro,authors_real,False,0.4360631660293866,0.1811802493898201,0.3613559877784104,0.6323913754157613,0.34248280134936154,0.20641459348023572
ChatGPT o1 pro,institutions_real,False,0.4366152162121384,0.39027661859878454,0.3981769849657495,0.8630819026104114,0.25879927693977833,0.22208331379526253
Claude 3.5 Sonnet (explanatory style),keywords_real,False,0.3711674203529838,0.8099403538742106,0.46049301374755075,0.34692233894579827,0.39729417417577856,0.412455381442912
Claude 3.5 Sonnet (explanatory style),citations_real,False,0.33674087326016844,0.3724110199103259,0.5119846273520882,0.4133535091319099,0.6136661182192046,0.3964208629178958
Claude 3.5 Sonnet (explanatory style),authors_real,False,0.35803433024608194,0.19543475532957308,0.3425740678856892,0.29508093443192435,0.5971947333565422,0.4299531173980521
Claude 3.5 Sonnet (explanatory style),institutions_real,False,0.36227257468365565,0.23879973690683667,0.7639847084059259,0.36805640629795267,0.6116112343137369,0.3549194886340531
ChatGPT o1,keywords_real,False,0.39479408559285123,0.3187814973265928,0.638717371057944,0.6361053910169143,0.44131270929345967,0.2949262507013019
ChatGPT o1,citations_real,False,0.37876261520258664,0.3119000523196915,0.6264694262898882,0.3554926795746485,0.49189827103669725,0.3050367802658107
ChatGPT o1,authors_real,False,0.32515741410690874,0.5020937230552596,0.6931953312512793,0.5175734628835125,0.2570029362483262,0.27157643970823353
ChatGPT o1,institutions_real,False,0.36487198719677616,0.3637581244724873,0.8143242597950945,0.5486164128446575,0.3244684473399337,0.440779699164956
ChatGPT 4o,keywords_real,False,0.3300880840444862,0.6430446809451382,0.5472475076874461,0.6381456765991882,0.5941910374157572,0.4808905737597486
ChatGPT 4o,citations_real,False,0.39861190377174516,0.28198054947110673,0.29834856791892367,0.5985330745762576,0.22091184875404987,0.5154404387979599
ChatGPT 4o,authors_real,False,0.363747965233829,0.42219874699368676,0.5683289418503982,0.35587642847249124,0.3261101524490613,0.46319878716917984
ChatGPT 4o,institutions_real,False,0.33358826040681944,0.5378754651463257,0.41624643853765003,0.5257573192611292,0.4690170940896698,0.06359737235716745
Meta Llama 3.1 405B,keywords_real,False,0.3140962537131723,0.5724714208093362,0.4422900164206241,0.5137136132986586,0.29169677909526154,0.424454478140626
Meta Llama 3.1 405B,citations_real,False,0.3238331329492842,0.48091681227462724,0.48833261247616633,0.5632890344530788,0.24194137101419325,0.5244509054007124
Meta Llama 3.1 405B,authors_real,False,0.35078738605771714,0.4197892560308415,0.37904963194786023,0.5590710545849532,0.28180180361842855,0.3825740376632344
Meta Llama 3.1 405B,institutions_real,False,0.2995938940466804,0.39026982927394255,0.6625815017868576,0.5598062206982265,0.460005183207115,0.5219250246191407
