metric,llm_mean,llm_ci_lower,llm_ci_upper,llm_std,llm_n,baseline_mean,baseline_ci_lower,baseline_ci_upper,baseline_std,baseline_n,mean_difference,improvement_factor,mann_whitney_u,mann_whitney_p,t_statistic,t_test_p,cohens_d,cliffs_delta,cohens_d_interpretation,cliffs_delta_interpretation,mann_whitney_p_corrected,significant_corrected
semantic_accuracy,0.560696875,0.5323889879162942,0.5890047620837058,0.07851558499236663,32,0.581825,0.4841304541807268,0.6795195458192733,0.1833391665738666,16,-0.021128125000000053,0.9636864607055385,193.0,0.9175491367997821,-0.4411781152332341,0.6643947164803012,-0.17185113199368107,-0.24609375,negligible,small,0.9999999870145226,False
reasoning_quality,0.38656250000000003,0.3219011364096875,0.4512238635903126,0.1793466525313298,32,0.17375000000000002,0.1039504511293802,0.24354954887061983,0.13098982148752372,16,0.21281250000000002,2.2248201438848922,425.5,0.00010217338540997708,4.6689631809569425,3.455942867697269e-05,1.2886686326499603,0.662109375,large,large,0.00017515437498853213,True
domain_knowledge_score,0.66625,0.6139809494414435,0.7185190505585565,0.14497497003098112,32,0.10500000000000001,0.0341473340824929,0.17585266591750712,0.13296616110875728,16,0.56125,6.345238095238095,512.0,8.782309777181544e-09,13.371419204729088,8.925652768894758e-15,3.975665256918588,1.0,large,large,5.269385866308927e-08,True
factual_correctness,0.61241875,0.5243090823973586,0.7005284176026414,0.24438355553871038,32,0.28834375,0.18819249111136577,0.38849500888863425,0.18794957468693563,16,0.324075,2.1239189335645388,436.0,4.1851036691527945e-05,5.077220332937679,1.045745059140791e-05,1.4243526065206298,0.703125,large,large,8.601998943821372e-05,True
response_coherence,0.6956218750000001,0.6519129253475378,0.7393308246524624,0.12123242336021467,32,0.6749999999999999,0.6511696696275915,0.6988303303724084,0.04472135954999579,16,0.020621875000000123,1.030550925925926,234.0,0.6941275950867136,0.853126997366402,0.3982611659401214,0.2007060350290852,-0.0859375,small,negligible,0.9999999870145226,False
depth_score,0.45242812499999996,0.37752802755571574,0.5273282224442842,0.20774510472766006,32,0.1361125,0.0931668555046116,0.1790581444953884,0.08059425020847744,16,0.316315625,3.323927817063091,495.5,8.242964391635704e-08,7.551357441434034,1.7450263227301982e-09,1.7907032513712555,0.935546875,large,large,3.2971857566542817e-07,True
biobank_specificity,0.58071875,0.4952292173008406,0.6662082826991593,0.23711627260454093,32,0.041675,0.0019498392691951819,0.0814001607308048,0.07455050636984299,16,0.5390437499999999,13.934463107378525,512.0,5.937193709045219e-09,11.750692760556161,9.96102126144483e-15,2.705298149378298,1.0,large,large,5.269385866308927e-08,True
coverage_score,0.62179375,0.5337432033636988,0.7098442966363012,0.2442195758943169,32,0.28834375,0.18819249111136577,0.38849500888863425,0.18794957468693563,16,0.33345,2.1564322098190094,438.0,3.4792807271540795e-05,5.225702618702241,6.5756018608069706e-06,1.4663218783727103,0.7109375,large,large,8.601998943821372e-05,True
precision,0.064059375,0.054824999486878814,0.07329375051312119,0.02561273447601231,32,0.23778125,0.19269373081861593,0.28286876918138404,0.08461381462267258,16,-0.173721875,0.2694046523853332,2.0,0.9999999870145226,-8.030562642711745,4.4692130977933783e-07,-3.2967721842079696,-0.9921875,large,large,0.9999999870145226,False
recall,0.680075,0.6038526919610212,0.7562973080389788,0.21141242677181582,32,0.383275,0.2900806468937865,0.47646935310621347,0.17489384780488992,16,0.2968,1.7743787098036659,435.5,4.300999471910686e-05,5.160009739287472,9.400292774242888e-06,1.482241079704083,0.701171875,large,large,8.601998943821372e-05,True
f1_score,0.11441874999999999,0.09924167561757359,0.1295958243824264,0.04209557817173798,32,0.291,0.23029632879217357,0.3517036712078264,0.11391997776217011,16,-0.17658125,0.39319158075601374,21.5,0.9999998626109239,-5.998791207142869,1.4093608070587496e-05,-2.397185101725186,-0.916015625,large,large,0.9999999870145226,False
baseline_improvement,-0.021121875000000005,-0.06137484973768606,0.01913109973768605,0.11164683008190922,32,1.2499999999998623e-05,-0.09442249579487981,0.09444749579487981,0.17722210875997763,16,-0.021134375000000004,-1689.7500000001864,212.0,0.8347816816585019,-0.43573609434842153,0.6674449357521117,-0.15479021867491816,-0.171875,negligible,small,0.9999999870145226,False
